sport,timestamp,enhanced_avg_speed,avg_speed,avg_cadence,total_distance,avg_temperature,avg_heart_rate,year,month,day,date,miles_per_hour,mile_pace,steps_per_minute
cycling,2023-08-06T15:49:59Z,2.97,65.535,255,8046.72,127,147,2023,8,6,2023-8-6,6.64369992,9.031112290213132,510
cycling,2023-08-06T15:58:13Z,4.555,65.535,255,2240.84,127,141,2023,8,6,2023-8-6,10.18924348,5.888562788569264,510
running,2023-08-07T22:58:57Z,3.036,65.535,74,1609.34,127,137,2023,8,7,2023-8-7,6.791337696,8.83478376216502,148
running,2023-08-07T23:08:15Z,2.884,65.535,74,1609.34,127,135,2023,8,7,2023-8-7,6.451323424,9.300417303028086,148
running,2023-08-07T23:17:51Z,2.999,65.535,73,1609.34,127,136,2023,8,7,2023-8-7,6.708571064,8.943782428120373,146
running,2023-08-07T23:26:41Z,3.035,65.535,74,1609.34,127,141,2023,8,7,2023-8-7,6.78910076,8.837694728808238,148
running,2023-08-07T23:29:28Z,3.293,65.535,74,487.19,127,148,2023,8,7,2023-8-7,7.366230248000001,8.14527892557941,148
running,2023-08-08T19:13:31Z,2.584,65.535,74,1609.34,127,114,2023,8,8,2023-8-8,5.780242624,10.38018711375116,148
running,2023-08-08T19:24:43Z,2.592,65.535,74,1609.34,127,122,2023,8,8,2023-8-8,5.798138112,10.348149499202547,148
running,2023-08-08T19:35:16Z,2.54,65.535,74,1609.34,127,128,2023,8,8,2023-8-8,5.6818174400000006,10.560001378713778,148
running,2023-08-08T19:45:30Z,2.624,65.535,73,1609.34,127,127,2023,8,8,2023-8-8,5.869720064,10.22195255409032,146
running,2023-08-08T19:46:28Z,2.904,65.535,76,161.61,127,132,2023,8,8,2023-8-8,6.496062144,9.23636484226343,152
running,2023-08-10T00:17:29Z,2.988,65.535,74,1609.34,127,133,2023,8,10,2023-8-10,6.683964768,8.976707999308234,148
running,2023-08-10T00:26:55Z,2.989,65.535,74,1609.34,127,134,2023,8,10,2023-8-10,6.686201704,8.973704751399465,148
running,2023-08-10T00:35:48Z,3.023,65.535,74,1609.34,127,136,2023,8,10,2023-8-10,6.762257528,8.872776547116441,148
running,2023-08-10T00:44:02Z,3.254,65.535,74,1609.34,127,146,2023,8,10,2023-8-10,7.278989744,8.242902121061155,148
running,2023-08-10T00:44:12Z,1.845,65.535,74,11.39,127,144,2023,8,10,2023-8-10,4.12714692,14.537888076928455,148
running,2023-08-12T01:39:15Z,3.359,65.535,75,1609.34,127,126,2023,8,12,2023-8-12,7.513868024,7.985234743058351,150
running,2023-08-12T01:46:38Z,3.632,65.535,75,1609.34,127,158,2023,8,12,2023-8-12,8.124551552,7.38502299062032,150
running,2023-08-12T01:54:28Z,3.421,65.535,75,1609.34,127,156,2023,8,12,2023-8-12,7.652558055999999,7.84051549311108,150
running,2023-08-12T02:02:47Z,3.284,65.535,74,1609.34,127,157,2023,8,12,2023-8-12,7.346097824,8.167601553572778,148
running,2023-08-12T02:10:59Z,3.27,65.535,75,1609.34,127,157,2023,8,12,2023-8-12,7.31478072,8.202569878266972,150
running,2023-08-12T02:13:52Z,3.365,65.535,75,574.38,127,162,2023,8,12,2023-8-12,7.52728964,7.9709965830410106,150
cycling,2023-08-12T14:48:34Z,2.319,65.535,255,8046.72,127,150,2023,8,12,2023-8-12,5.187454584,11.566366322523933,510
cycling,2023-08-12T15:29:16Z,3.308,65.535,255,7977.77,127,140,2023,8,12,2023-8-12,7.399784287999999,8.108344468540812,510
running,2023-08-14T03:36:06Z,3.217,65.535,74,1609.34,127,132,2023,8,14,2023-8-14,7.196223112,8.337707025779608,148
running,2023-08-14T03:44:03Z,3.375,65.535,74,1609.34,127,144,2023,8,14,2023-8-14,7.549659,7.947378815387556,148
running,2023-08-14T03:51:50Z,3.448,65.535,74,1609.34,127,147,2023,8,14,2023-8-14,7.712955328,7.779119345108179,148
running,2023-08-14T04:00:34Z,3.073,65.535,74,1609.34,127,144,2023,8,14,2023-8-14,6.874104328,8.72840986070062,148
running,2023-08-14T04:02:20Z,3.54,65.535,74,364.51,127,153,2023,8,14,2023-8-14,7.918753440000001,7.576950141788982,148
running,2023-08-15T03:29:55Z,3.062,65.535,75,1353.43,127,130,2023,8,15,2023-8-15,6.849498032,8.759766003243959,150
running,2023-08-15T03:30:38Z,4.898,65.535,81,207.82,127,125,2023,8,15,2023-8-15,10.956512528,5.476195080018988,162
running,2023-08-15T03:31:19Z,3.297,65.535,75,134.95,127,131,2023,8,15,2023-8-15,7.375177992,8.135396876534122,150
running,2023-08-15T03:31:59Z,4.937,65.535,84,200.45,127,134,2023,8,15,2023-8-15,11.043753032000001,5.432935690081628,168
running,2023-08-15T03:32:40Z,3.001,65.535,76,122.92,127,141,2023,8,15,2023-8-15,6.713044936,8.937821893346552,152
running,2023-08-15T03:33:22Z,4.962,65.535,83,205.39,127,141,2023,8,15,2023-8-15,11.099676431999999,5.4055629790272075,166
running,2023-08-15T03:34:03Z,2.944,65.535,66,121.38,127,148,2023,8,15,2023-8-15,6.585539584,9.110870754732677,132
running,2023-08-15T03:34:44Z,4.812,65.535,85,196.08,127,148,2023,8,15,2023-8-15,10.764136032000001,5.5740655656552365,170
running,2023-08-15T03:35:25Z,3.127,65.535,75,128.14,127,152,2023,8,15,2023-8-15,6.994898871999999,8.57767940579885,150
running,2023-08-15T03:36:06Z,4.598,65.535,80,188.39,127,149,2023,8,15,2023-8-15,10.285431728,5.833493584587429,160
running,2023-08-15T03:36:51Z,2.946,65.535,75,134.67,127,148,2023,8,15,2023-8-15,6.590013456,9.10468550642668,150
running,2023-08-15T03:37:32Z,5.249,65.535,84,215.78,127,144,2023,8,15,2023-8-15,11.741677064,5.110002572286722,168
running,2023-08-15T03:38:15Z,3.477,65.535,75,147.12,127,153,2023,8,15,2023-8-15,7.777826472,7.7142374178697155,150
running,2023-08-15T03:38:56Z,4.782,65.535,84,195.57,127,154,2023,8,15,2023-8-15,10.697027952000001,5.609034609354454,168
running,2023-08-15T03:39:44Z,2.703,65.535,75,129.89,127,156,2023,8,15,2023-8-15,6.046438008,9.923197743963375,150
running,2023-08-15T03:40:25Z,4.895,65.535,76,202.35,127,153,2023,8,15,2023-8-15,10.94980172,5.4795512772079675,152
running,2023-08-15T03:40:58Z,2.996,65.535,75,99.65,127,163,2023,8,15,2023-8-15,6.701860256,8.952738151513017,150
running,2023-08-15T03:41:39Z,4.621,65.535,83,188.51,127,164,2023,8,15,2023-8-15,10.336881256000002,5.8044586673735115,166
running,2023-08-15T03:42:20Z,2.782,65.535,74,112.85,127,171,2023,8,15,2023-8-15,6.223155952,9.641410317014019,148
running,2023-08-15T03:43:00Z,4.955,65.535,68,199.75,127,161,2023,8,15,2023-8-15,11.084017880000001,5.413199495849243,136
running,2023-08-15T03:46:38Z,1.331,65.535,40,288.27,127,129,2023,8,15,2023-8-15,2.977361816,20.152068746756573,80
running,2023-08-15T03:54:41Z,3.329,65.535,72,1527.45,127,163,2023,8,15,2023-8-15,7.446759944000001,8.057195404605887,144
running,2023-08-15T04:00:43Z,2.37,65.535,68,852.19,127,144,2023,8,15,2023-8-15,5.301538320000001,11.31746983203924,136
running,2023-08-16T13:11:49Z,2.951,65.535,75,1609.34,127,130,2023,8,16,2023-8-16,6.601198136,9.089259065378855,150
running,2023-08-16T13:21:42Z,2.917,65.535,74,1609.34,127,141,2023,8,16,2023-8-16,6.525142312,9.195201749034283,148
running,2023-08-16T13:30:41Z,2.987,65.535,75,1609.34,127,152,2023,8,16,2023-8-16,6.681727832,8.979713258096083,150
running,2023-08-16T13:40:10Z,2.825,65.535,75,1609.34,127,148,2023,8,16,2023-8-16,6.319344200000001,9.494656106878937,150
running,2023-08-16T13:48:44Z,3.136,65.535,75,1609.34,127,151,2023,8,16,2023-8-16,7.015031296,8.553062341177615,150
running,2023-08-16T13:57:08Z,3.192,65.535,75,1609.34,127,156,2023,8,16,2023-8-16,7.140299712000001,8.403008615893796,150
running,2023-08-16T13:57:17Z,2.676,65.535,75,19.12,127,154,2023,8,16,2023-8-16,5.9860407360000005,10.023319694294843,150
running,2023-08-18T22:42:13Z,2.971,65.535,74,1609.34,127,132,2023,8,18,2023-8-18,6.6459368560000005,9.028072535150791,148
running,2023-08-18T22:51:28Z,2.903,65.535,74,1609.34,127,133,2023,8,18,2023-8-18,6.4938252080000005,9.23954650428281,148
running,2023-08-18T23:00:35Z,2.938,65.535,74,1609.34,127,126,2023,8,18,2023-8-18,6.572117968000001,9.129477025845132,148
running,2023-08-18T23:09:20Z,3.069,65.535,74,1609.34,127,134,2023,8,18,2023-8-18,6.865156584,8.739786087303031,148
running,2023-08-18T23:09:43Z,2.991,65.535,74,60.82,127,139,2023,8,18,2023-8-18,6.690675576,8.967704280151455,148
running,2023-08-19T17:59:55Z,2.954,65.535,74,1609.34,127,128,2023,8,19,2023-8-19,6.607908944000001,9.080028267411306,148
running,2023-08-19T18:09:10Z,2.899,65.535,75,1609.34,127,141,2023,8,19,2023-8-19,6.484877464,9.25229510242601,150
running,2023-08-19T18:18:16Z,2.947,65.535,75,1609.34,127,139,2023,8,19,2023-8-19,6.592250392,9.101596030516797,150
running,2023-08-19T18:27:21Z,2.951,65.535,76,1609.34,127,148,2023,8,19,2023-8-19,6.601198136,9.089259065378855,152
running,2023-08-19T18:36:18Z,2.998,65.535,75,1609.34,127,142,2023,8,19,2023-8-19,6.706334128000001,8.94676567776284,150
running,2023-08-19T18:44:42Z,3.194,65.535,75,1609.34,127,145,2023,8,19,2023-8-19,7.144773584,8.397746869734815,150
running,2023-08-19T18:51:09Z,2.976,65.535,75,1136.9,127,143,2023,8,19,2023-8-19,6.657121536,9.01290440253125,150
cycling,2023-08-20T01:17:31Z,2.596,65.535,255,8046.72,127,129,2023,8,20,2023-8-20,5.8070858560000005,10.332204738803158,510
cycling,2023-08-20T02:07:14Z,2.287,65.535,255,6786.28,127,123,2023,8,20,2023-8-20,5.115872632,11.728204417111062,510
running,2023-08-22T03:04:14Z,3.775,65.535,76,1609.34,127,132,2023,8,22,2023-8-22,8.4444334,7.10527245084318,152
running,2023-08-22T03:11:20Z,3.782,65.535,76,1609.34,127,156,2023,8,22,2023-8-22,8.460091952,7.09212149707377,152
running,2023-08-22T03:18:14Z,3.884,65.535,76,1609.34,127,156,2023,8,22,2023-8-22,8.688259424,6.905871138499743,152
running,2023-08-22T03:18:28Z,4.338,65.535,76,39.71,127,165,2023,8,22,2023-8-22,9.703828368,6.183126671722683,152
running,2023-08-23T03:32:39Z,2.718,65.535,74,1609.34,127,129,2023,8,23,2023-8-23,6.079992048,9.868433959504415,148
running,2023-08-23T03:43:07Z,2.701,65.535,73,1609.34,127,135,2023,8,23,2023-8-23,6.041964136,9.930545539405037,146
